WorkOrderNo    SoftWONo  TranNoRel      SOLineNo   QtyOrd                         WorkOrderNo;SoftWONo;TranNoRel;SOLineNo;QtyOrd;LineStatus;TranDate;PromiseDate;ItemID;ItemShortDesc;Hold;HoldReason;CustName;PrintedExpectShipRpt;QtyOnBO;QtyShip;QtyInvcd;QtyOpenToShip;OrderHold;OrderHoldReason
00021912;;0000094123;1;4.00000000;Open;2019-07-01 00:00:00;2019-07-26 00:00:00;101-522;CLR14-1;False;;CONNOR CO.            ;Y;4.00000000;.00000000;.00000000;4.00000000;False;
;;0000093515;8;3.00000000;Open;2019-06-19 00:00:00;2019-08-09 00:00:00;101-534;CLUG10;False;;HUGHES SUPPLY #519;Y;.00000000;.00000000;.00000000;3.00000000;False;
;;0000093627;2;10.00000000;Open;2019-06-12 00:00:00;2019-07-09 00:00:00;101-534;CLUG10;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;10.00000000;False;
;;0000094033;20;25.00000000;Open;2019-06-12 00:00:00;2019-07-19 00:00:00;101-534;CLUG10;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;25.00000000;False;
;;0000093627;3;10.00000000;Open;2019-06-12 00:00:00;2019-07-09 00:00:00;101-535;CLUG6;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;10.00000000;False;
;;0000094370;2;2.00000000;Open;2019-07-08 00:00:00;2099-12-31 00:00:00;101-536;CLUG8;False;;FERGUSON ENT. #52;Y;.00000000;.00000000;.00000000;2.00000000;False;
;;0000094033;19;25.00000000;Open;2019-06-12 00:00:00;2019-07-19 00:00:00;101-536;CLUG8;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;25.00000000;False;
;;0000094307;1;11.00000000;Open;2019-07-03 00:00:00;2099-12-31 00:00:00;101-668;CRA1725B3-1;False;;NOREASTER INSTALLATION;N;9.00000000;.00000000;.00000000;11.00000000;True;JV 7/3
00021634;;0000093686;1;14.00000000;Open;2019-06-21 00:00:00;2019-07-26 00:00:00;102-012;CRAADA1723A1-1,5,DCR;False;;SLAKEY BROTHERS;Y;14.00000000;.00000000;.00000000;14.00000000;False;
;;0000093793;4;6.00000000;Open;2019-06-24 00:00:00;2019-07-11 00:00:00;102-082;CRAADA1725A1-1,4.5,DCR;False;;WINNELSON-RIVERSIDE;Y;6.00000000;.00000000;.00000000;6.00000000;False;
00017945;;0000087733;1;34.00000000;Open;2019-02-27 00:00:00;2019-08-20 00:00:00;102-097;CRAADA1725A1-1,6.5,DCC;False;;HAJOCA CORP. #571;Y;32.00000000;.00000000;.00000000;34.00000000;False;
00021794;;0000093908;2;2.00000000;Open;2019-06-26 00:00:00;2019-07-10 00:00:00;102-099;CRAADA1725A1-1,6.5,DCR;False;;FERGUSON ENT. #1826;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00020991;;0000092671;1;19.00000000;Open;2019-06-04 00:00:00;2019-07-16 00:00:00;102-147;CRAADA1725B1-1,6,DCR;False;;FERGUSON ENT. #3055;Y;19.00000000;.00000000;.00000000;19.00000000;False;
;;0000094193;4;36.00000000;Open;2019-07-02 00:00:00;2099-12-31 00:00:00;102-147;CRAADA1725B1-1,6,DCR;False;;EASTERN PLUMBING SPLY.;N;36.00000000;.00000000;.00000000;36.00000000;True;jv 7/5 SPEC SHEET
;;0000094387;1;1.00000000;Open;2019-07-08 00:00:00;2099-12-31 00:00:00;102-198;CRAADA1923A1-1,6.5,DCC;False;;WEBB COMPANY, F.W.;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000094283;3;4.00000000;Open;2019-07-03 00:00:00;2019-07-18 00:00:00;102-413;CRAADA1931A1-1,5,DCR;False;;VISALIA P & S #149;Y;.00000000;.00000000;.00000000;4.00000000;False;
00021877;;0000094069;2;1.00000000;Open;2019-06-28 00:00:00;2019-07-12 00:00:00;102-417;CRAADA1931A1-1,5.5,DCR;False;;VISALIA P & S #149;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021971;;0000094283;1;7.00000000;Open;2019-07-03 00:00:00;2019-07-18 00:00:00;102-425;CRAADA1931A1-1,6.5,DCR;False;;VISALIA P & S #149;Y;7.00000000;.00000000;.00000000;7.00000000;False;
00021973;;0000094285;1;5.00000000;Open;2019-07-03 00:00:00;2019-07-19 00:00:00;102-425;CRAADA1931A1-1,6.5,DCR;False;;HEIECK SUPPLY #126;Y;5.00000000;.00000000;.00000000;5.00000000;False;
00021793;;0000093907;1;2.00000000;Open;2019-06-26 00:00:00;2019-07-10 00:00:00;102-425;CRAADA1931A1-1,6.5,DCR;False;;FERGUSON ENT. #686;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021608;;0000093622;1;9.00000000;Open;2019-06-20 00:00:00;2019-07-26 00:00:00;102-426;CRAADA1931A1-1,6.5,DLR;False;;PACE SUPPLY;Y;9.00000000;.00000000;.00000000;9.00000000;False;
00021485;;0000093369;1;2.00000000;Open;2019-06-17 00:00:00;2019-07-05 00:00:00;102-502;CRAADA2225A1-1,6.5,DCR;False;;VISALIA P & S #149;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021836;;0000093999;1;17.00000000;Open;2019-06-27 00:00:00;2019-08-07 00:00:00;102-518;CRAADA2225A3-1,5.5,DCC;False;;FERGUSON ENT. #2020;Y;12.00000000;.00000000;.00000000;17.00000000;False;
;;0000093663;1;4.00000000;Open;2019-06-20 00:00:00;2099-12-31 00:00:00;102-812;CRAFADA1931AT,6,DCR;False;;STANDARD PLUMBING SUPPLY;Y;.00000000;.00000000;.00000000;4.00000000;False;
00021496;;0000093478;1;3.00000000;Open;2019-06-18 00:00:00;2019-07-05 00:00:00;102-851;CRB2022B3-1;False;;KELLER SUPPLY CO.;Y;3.00000000;.00000000;.00000000;3.00000000;False;
;;0000094074;1;17.00000000;Open;2019-06-28 00:00:00;2099-12-31 00:00:00;102-976;CRBADA2022A3-1,5.5,DCR;False;;INSTITUTIONAL CASEWORK INC;N;17.00000000;.00000000;.00000000;17.00000000;False;
00021847;;0000093959;1;21.00000000;Open;2019-06-26 00:00:00;2019-07-11 00:00:00;103-016;CRBADA2220A1-1,4.5,DCR;False;;FERGUSON ENT. #603;Y;.00000000;.00000000;.00000000;21.00000000;False;
00021931;;0000094200;1;19.00000000;Open;2019-07-02 00:00:00;2019-08-09 00:00:00;103-987;CSL2125B3;False;;BENDER PLBG. SUPPLY   ;Y;19.00000000;.00000000;.00000000;19.00000000;False;
00021822;;0000093970;3;2.00000000;Open;2019-06-27 00:00:00;2019-07-12 00:00:00;104-016;CTEQ2243B3;False;;FERGUSON ENT. #55;Y;2.00000000;.00000000;.00000000;2.00000000;False;
;;0000093484;6;4.00000000;Open;2019-06-18 00:00:00;2019-07-24 00:00:00;104-061;Cu-J15FS;False;;FERGUSON ENT. #601;Y;.00000000;.00000000;.00000000;4.00000000;False;
;;0000094335;1;3.00000000;Open;2019-07-05 00:00:00;2099-12-31 00:00:00;104-061;Cu-J15FS;False;;GRAINGER-CATALOG;Y;3.00000000;.00000000;.00000000;3.00000000;False;
;;0000093974;1;3.00000000;Open;2019-06-26 00:00:00;2099-12-31 00:00:00;104-061;Cu-J15FS;False;;GRAINGER-CATALOG;Y;2.00000000;.00000000;.00000000;3.00000000;False;
;;0000093975;1;4.00000000;Open;2019-06-26 00:00:00;2099-12-31 00:00:00;104-061;Cu-J15FS;False;;GRAINGER-CATALOG;Y;3.00000000;.00000000;.00000000;4.00000000;False;
;00021690;0000093769;1;2.00000000;Open;2019-06-24 00:00:00;2019-07-12 00:00:00;104-172;CWH2524;False;;BETZ JR. INC.. WM.;Y;.00000000;.00000000;.00000000;2.00000000;False;
;00021940;0000094150;3;1.00000000;Open;2019-07-01 00:00:00;2019-07-26 00:00:00;104-172;CWH2524;False;;KELLER SUPPLY CO.;Y;.00000000;.00000000;.00000000;1.00000000;False;
00021021;;0000092711;3;2.00000000;Open;2019-06-04 00:00:00;2019-07-19 00:00:00;104-230;DBLADA1529A0,6,DCC;False;;EPIC SUPPLY DALLAS;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021933;;0000094199;1;2.00000000;Open;2019-07-02 00:00:00;2019-07-15 00:00:00;104-262;DBW2133BL3;False;;KENNY PIPE & SUPPLY;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021978;;0000094072;1;148.00000000;Open;2019-06-28 00:00:00;2019-08-19 00:00:00;104-267;DBW2133BR3;False;;HAJOCA CORP. #571;N;148.00000000;.00000000;.00000000;148.00000000;False;
00021857;;0000094025;1;1.00000000;Open;2019-06-27 00:00:00;2019-07-12 00:00:00;104-267;DBW2133BR3;False;;FERGUSON ENT. #603;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021604;;0000093649;1;20.00000000;Open;2019-06-20 00:00:00;2019-07-10 00:00:00;104-349;DCRADA1737AL3-1,5,DCR;False;;PETERSON & CO, LEONARD;Y;20.00000000;.00000000;.00000000;20.00000000;False;
00022017;;0000094282;1;19.00000000;Open;2019-07-03 00:00:00;2019-07-29 00:00:00;104-349;DCRADA1737AL3-1,5,DCR;False;;PETERSON & CO, LEONARD;Y;19.00000000;.00000000;.00000000;19.00000000;False;
00021981;;0000094310;2;23.00000000;Open;2019-07-03 00:00:00;2019-07-31 00:00:00;104-353;DCRADA1737AL3-1,5.5,DCR;False;;FERGUSON ENT. #3504;Y;21.00000000;.00000000;.00000000;23.00000000;False;
00020433;;0000091749;2;11.00000000;Open;2019-05-16 00:00:00;2019-07-22 00:00:00;104-353;DCRADA1737AL3-1,5.5,DCR;False;;NICKERSON CORPORATION;Y;9.00000000;.00000000;.00000000;11.00000000;False;
;;0000091749;7;1.00000000;Open;2019-05-16 00:00:00;2019-07-22 00:00:00;104-353;DCRADA1737AL3-1,5.5,DCR;False;;NICKERSON CORPORATION;Y;.00000000;.00000000;.00000000;1.00000000;False;
00021453;;0000093299;1;9.00000000;Open;2019-06-14 00:00:00;2019-08-01 00:00:00;104-357;DCRADA1737AL3-1,6,DCR;False;;FERGUSON ENT. #361;Y;9.00000000;.00000000;.00000000;9.00000000;False;
00021818;;0000093949;4;16.00000000;Open;2019-06-26 00:00:00;2019-08-07 00:00:00;104-361;DCRADA1737AL3-1,6.5,DCR;False;;WEBB COMPANY, F.W.;Y;15.00000000;.00000000;.00000000;16.00000000;False;
00021605;;0000093649;2;2.00000000;Open;2019-06-20 00:00:00;2019-07-10 00:00:00;104-423;DCRADA1737AR3-1,5,DCR;False;;PETERSON & CO, LEONARD;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00022018;;0000094282;2;10.00000000;Open;2019-07-03 00:00:00;2019-07-29 00:00:00;104-423;DCRADA1737AR3-1,5,DCR;False;;PETERSON & CO, LEONARD;Y;10.00000000;.00000000;.00000000;10.00000000;False;
00021980;;0000094310;1;26.00000000;Open;2019-07-03 00:00:00;2019-07-31 00:00:00;104-427;DCRADA1737AR3-1,5.5,DCR;False;;FERGUSON ENT. #3504;Y;25.00000000;.00000000;.00000000;26.00000000;False;
00020432;;0000091749;1;19.00000000;Open;2019-05-16 00:00:00;2019-07-22 00:00:00;104-427;DCRADA1737AR3-1,5.5,DCR;False;;NICKERSON CORPORATION;Y;19.00000000;.00000000;.00000000;19.00000000;False;
00021454;;0000093299;4;10.00000000;Open;2019-06-14 00:00:00;2019-08-01 00:00:00;104-431;DCRADA1737AR3-1,6,DCR;False;;FERGUSON ENT. #361;Y;10.00000000;.00000000;.00000000;10.00000000;False;
